"sample_id","LD1","LD2","LD3","platform","subtype"
"TCGA-AR-A5QQ-01",-0.390186117661789,-2.72664658196235,-0.840958083658993,"TCGA","IM"
"TCGA-A7-A4SD-01",-1.49674072668029,-0.588754009261976,-1.00455612034205,"TCGA","IM"
"TCGA-A7-A0CE-01",-0.479168215316527,1.02067047971323,2.12255702564443,"TCGA","BLIS"
"TCGA-BH-A0B9-01",-1.60676168050473,-0.748536559351925,-1.38687716338193,"TCGA","IM"
"TCGA-GM-A2DH-01",4.24370771695511,-1.52526569398147,-1.11265594661253,"TCGA","LAR"
"TCGA-AR-A1AQ-01",-2.01399085459634,-1.88652800633098,-1.29094618890418,"TCGA","IM"
"TCGA-S3-AA10-01",-1.72018768138802,-1.80173185596533,-1.89268836373784,"TCGA","IM"
"TCGA-A2-A04P-01",0.392583778364791,0.348590327329007,-0.0476233128580337,"TCGA","MES"
"TCGA-E2-A14R-01",-2.52538960791575,-0.710662846996281,-1.49577729441175,"TCGA","BLIS"
"TCGA-E2-A1L7-01",3.98627636482498,-0.133717664899579,0.243562277087196,"TCGA","MES"
"TCGA-AO-A12F-01",-1.93967872770454,1.64619380459075,3.4182105642311,"TCGA","BLIS"
"TCGA-EW-A6SB-01",-1.51487425475179,-2.40543761102849,-1.66038084044839,"TCGA","IM"
"TCGA-BH-A0BW-01",-1.00111188594757,-0.445697543780297,-3.48306691376738,"TCGA","IM"
"TCGA-AC-A6IW-01",-2.08642611688087,-2.21201603039545,-0.766838519993311,"TCGA","IM"
"TCGA-AC-A7VC-01",0.882360559543649,-1.63291576189227,-0.104164987978133,"TCGA","IM"
"TCGA-BH-A18G-01",-3.75410461505676,1.70840128054186,0.544605449728651,"TCGA","BLIS"
"TCGA-BH-A1FC-01",-1.47746125761611,-1.7548790073679,-2.86865655665743,"TCGA","IM"
"TCGA-LL-A441-01",1.07693637214012,-0.458313976223787,0.637932221836086,"TCGA","MES"
"TCGA-E2-A573-01",-1.64344877771379,-0.595654774968166,-1.29666483612265,"TCGA","IM"
"TCGA-AO-A124-01",-2.56424603841515,0.755142774925037,-0.496075872122132,"TCGA","BLIS"
"TCGA-A8-A07C-01",-2.47967884552441,0.11547483851147,-0.462555300268817,"TCGA","BLIS"
"TCGA-BH-A0WA-01",-2.99477810877854,0.502396439807802,0.319661683327335,"TCGA","BLIS"
"TCGA-AO-A0J2-01",4.60885783065539,2.71172123245742,-1.69726418436396,"TCGA","LAR"
"TCGA-A2-A0T2-01",-0.927932452000193,0.977199921333297,0.608425985095802,"TCGA","BLIS"
"TCGA-A1-A0SO-01",-3.2159006547854,3.32078629202319,0.365839688485271,"TCGA","BLIS"
"TCGA-EW-A1P7-01",0.964673213795231,-1.4794338027748,1.53367122786139,"TCGA","MES"
"TCGA-E2-A1LS-01",-0.917161450117607,4.31047751031158,1.57117639893489,"TCGA","BLIS"
"TCGA-AR-A0TS-01",-0.233459419527643,-1.84927661307783,0.0214595078605369,"TCGA","MES"
"TCGA-A2-A3XU-01",-2.35320425472544,1.77591889195449,2.15131921500323,"TCGA","BLIS"
"TCGA-C8-A1HJ-01",-1.41906688268849,2.08126025913589,0.074893090408065,"TCGA","BLIS"
"TCGA-S3-AA15-01",0.274990656420941,-2.73228722830483,1.32973328487104,"TCGA","MES"
"TCGA-OL-A5D7-01",-1.167463651008,-2.0494020538371,-1.12582636333556,"TCGA","IM"
"TCGA-A2-A0CM-01",-0.611233444909396,-1.10962688710051,-2.01828171560985,"TCGA","IM"
"TCGA-D8-A1JG-01",5.70511069532007,-0.180182508149562,-1.91567129195945,"TCGA","LAR"
"TCGA-AR-A1AY-01",-2.24492152222848,1.3746840328471,1.72224319858819,"TCGA","BLIS"
"TCGA-BH-A1EW-01",3.49873017576971,-0.780325616779968,0.131397413236264,"TCGA","MES"
"TCGA-E2-A1LI-01",-2.2601173935689,0.660241307090722,-1.58887003783923,"TCGA","BLIS"
"TCGA-GM-A2DB-01",5.02954348824831,1.97475075518636,-0.607133448786312,"TCGA","LAR"
"TCGA-EW-A1PH-01",-1.82067031830704,1.1874312325154,-1.45682530246225,"TCGA","BLIS"
"TCGA-A2-A0D2-01",-2.05108011248694,-1.04315834195023,0.818450890850269,"TCGA","BLIS"
"TCGA-AO-A0J6-01",-2.85464373222478,-0.692211392997593,-2.92837334142827,"TCGA","BLIS"
"TCGA-BH-A1F6-01",-2.07380761561425,-0.80654554012252,-0.469300510833071,"TCGA","IM"
"TCGA-BH-A18V-01",-1.53941479654375,-0.405230807460873,-0.697190902064259,"TCGA","BLIS"
"TCGA-AC-A2QH-01",-0.766029175381469,2.20295466943257,3.31256565373867,"TCGA","BLIS"
"TCGA-EW-A1OV-01",3.50750086187854,-2.28123766705007,-1.20513020122641,"TCGA","MES"
"TCGA-A2-A0ST-01",0.944372999122304,-1.65942442056157,-0.612819004915983,"TCGA","IM"
"TCGA-E2-A159-01",1.93915292347755,-1.17233607767748,-2.10503433274373,"TCGA","LAR"
"TCGA-OL-A6VO-01",-2.91719645463394,-0.160587695020578,-0.635133585015688,"TCGA","BLIS"
"TCGA-A2-A0D0-01",-4.41914059650674,0.355446992627474,-1.12239064096676,"TCGA","BLIS"
"TCGA-B6-A402-01",-4.97286747698545,2.35481428778451,0.406692294160228,"TCGA","BLIS"
"TCGA-C8-A134-01",-1.87563409204144,-0.546431089255698,-0.773518223322271,"TCGA","BLIS"
"TCGA-AN-A0AT-01",-2.78516930019883,-0.16932452056609,0.680930883272771,"TCGA","BLIS"
